index,bit,flip,title
2364,"The prevailing belief is that fixed-rank matrices for the low-rank matrix completion problem are optimized using standard methods, without tailoring the metric to the specific least square cost function.","An innovative approach is to use a new Riemannian geometry for fixed-rank matrices, tuning the metric to the least square cost function, and developing first-order and second-order optimization tools, making the algorithms competitive with the state-of-the-art.",A Riemannian geometry for low-rank matrix completion
2365,Image denoising is a complex problem that requires specific techniques for different types of noise.,Multi-layer perceptrons can be effectively trained to achieve outstanding image denoising performance for various types of noise.,"Image denoising with multi-layer perceptrons, part 2: training
  trade-offs and analysis of their mechanisms"
2366,"Autonomous navigation for Micro Aerial Vehicles (MAVs) is challenging due to their inability to carry heavy sensors and monitoring devices, making obstacle avoidance difficult.","MAVs can navigate autonomously and avoid obstacles in cluttered environments using a single cheap camera and state-of-the-art imitation learning techniques, trained with a small set of human pilot demonstrations.","Learning Monocular Reactive UAV Control in Cluttered Natural
  Environments"
2367,"The conventional belief is that Independent Component Analysis (ICA) techniques, often based on kurtosis or other cumulants, are the standard solution for the blind signal separation problem, such as the cocktail party problem.","The innovative approach is to propose a new algorithm that decorrelates a sample with additive Gaussian noise, assuming the underlying distribution is a linear transformation of a distribution with independent components. This method, based on the properties of cumulant tensors, can be combined with any standard cumulant-based method for ICA, providing a solution that is provably robust in the presence of Gaussian noise.",Blind Signal Separation in the Presence of Gaussian Noise
2368,"The conventional belief is that the complexity of the ""forward"" approximate uniform generation problem and the inverse problem are directly related - if one is easy, the other should be as well.","The research proposes that there is no general relationship between the complexity of the ""forward"" approximate uniform generation problem and the inverse problem. It is possible for one to be easy while the other is hard.",Inverse problems in approximate uniform generation
2369,The common method for imputing missing values in categorical data is using the most common attribute value.,"An innovative approach is to use an algorithm based on association rules for missing values imputation, which has shown better accuracy.","Algorithm for Missing Values Imputation in Categorical Data with Use of
  Association Rules"
2370,Manifold approximation traditionally involves using a single low-dimensional subspace to represent manifold data.,"Instead of using a single subspace, manifold data can be more accurately represented by partitioning samples into groups and approximating each group with a different low-dimensional affine subspace.",Tangent-based manifold approximation with locally linear models
2371,"Gene Regulatory Networks (GRNs) reconstruction from continuous gene expression data is typically handled as a whole, which can be challenging for large amounts of genes.","A scalable and parallel solution can be achieved by partitioning genes into smaller, overlapping communities, learning intra-community GRNs separately, and then merging them. This divide-and-conquer approach also provides additional information about overlapping communities, useful for mining functional modules in biological networks.","LAGE: A Java Framework to reconstruct Gene Regulatory Networks from
  Large-Scale Continues Expression Data"
2372,The classifier chains (CC) approach for multi-dimensional classification (MDC) is fast but tends to propagate errors along the chain due to its greedy approximation.,"The introduction of novel Monte Carlo schemes can find a good chain sequence and perform efficient inference, improving predictive performance while remaining tractable for high-dimensional data sets.","Efficient Monte Carlo Methods for Multi-Dimensional Learning with
  Classifier Chains"
2373,"The conventional belief is that estimating a simplex from uniformly random points requires analyzing the fourth moment, as used in previous algorithms.","The innovative approach is to estimate the simplex using an efficient algorithm based on the third moment, demonstrating a direct connection between the problem of learning a simplex and Independent Component Analysis.",Efficient learning of simplices
2374,"Existing algorithms for online convex optimization, including online prediction and classification, require prior knowledge of constraints on the comparator point x* to achieve sub-linear regret.","The presented algorithms can achieve near-optimal regret bounds with respect to any choice of x*, without requiring such prior knowledge.",No-Regret Algorithms for Unconstrained Online Convex Optimization
2375,"Unsupervised models are typically used for detecting differences between training and target distributions, but they do not directly contribute to the classification of new target data.","Unsupervised models can be integrated into a Bayesian framework to provide soft constraints and consensus labeling for new target data, enhancing classification accuracy, especially when data statistics drift or change.","Probabilistic Combination of Classifier and Cluster Ensembles for
  Non-transductive Learning"
2376,Artificial Neural Network (ANN) and Auto-Regressive and Moving Average (ARMA) models are used separately for renewable energy prediction.,"Combining ANN and ARMA in a hybrid model can improve the accuracy of global radiation forecasting, with different models optimized for different seasons and weather conditions.","Hybrid methodology for hourly global radiation forecasting in
  Mediterranean area"
2377,"Information theoretic quantities are often used as test statistics, but their estimation from empirical data often leads to strong simplifications such as Gaussian models or the use of plug-in density estimators that are restricted to certain representations of the data.","A new framework is proposed to non-parametrically obtain measures of entropy directly from data using operators in reproducing kernel Hilbert spaces defined by infinitely divisible kernels, avoiding the need to estimate the probability distribution underlying the data.",Measures of Entropy from Data Using Infinitely Divisible Kernels
2378,Fast inference methods for maximum likelihood estimators are only available for specific random utility models like the Plackett-Luce model.,"Fast inference within a Bayesian framework through MC-EM can be enabled for general random utility models, providing concave loglikelihood functions and bounded sets of global maxima solutions.",Random Utility Theory for Social Choice
2379,"Feature selection in numerical data with measurement errors is typically handled using discretized intervals, which may not fully capture the information of the data.","A new approach to feature selection is proposed, which constructs neighborhoods through confidence intervals and considers the trade-off between test costs and misclassification costs, offering a more effective and efficient solution for data sets.","Minimal cost feature selection of data with normal distribution
  measurement errors"
2380,The prevailing belief is that numerous complex algorithms are required to solve the L1-regularized maximum likelihood estimation problem.,"A simple proximal gradient method (G-ISTA) can effectively solve the L1-regularized covariance matrix estimation problem, demonstrating attractive theoretical and numerical properties, including a linear rate of convergence.","Iterative Thresholding Algorithm for Sparse Inverse Covariance
  Estimation"
2381,The prevailing belief is that the Radial Basis Function (RBF) model is the most effective for biometric voice recognition.,"The Gaussian Mixture Model (GMM) can perform comparably to the standard RBF model in voice recognition, and the DTREG version of RBF can outperform both, offering higher recognition accuracy.","A Comparative Study of Gaussian Mixture Model and Radial Basis Function
  for Voice Recognition"
2382,The dual coordinate ascent method is traditionally used in its standard form for regularized loss minimization problems.,"A proximal version of the dual coordinate ascent method can be used for numerous regularized loss minimization problems, including $\ell_1$ regularization and structured output SVM, matching or even improving state-of-the-art results.",Proximal Stochastic Dual Coordinate Ascent
2383,"The conventional approach to image classification tasks involves representing the input image based on low-level features, which can be unreliable and computationally expensive.","Instead of relying on low-level features, the deep attribute network (DAN) model proposes to output the attributes of the input image without performing any classification, providing a more compact, discriminative, and efficient solution for image classification tasks.",Deep Attribute Networks
2384,"The conventional belief is that strong, complex collaborative filtering (CF) models like matrix factorization are necessary for effective performance in machine learning.","The innovative approach is that an ensemble of simple (weak) CF models, such as k-NN, can perform competitively with a single strong CF model, while requiring significantly less computational cost.",Boosting Simple Collaborative Filtering Models Using Ensemble Methods
2385,"The Shatters relation and the VC dimension are traditionally studied in isolation, focusing on their individual applications in various fields.","A comprehensive understanding of the structure of Shattering extremal systems can provide a new perspective on these concepts, potentially revealing new characterizations and applications.",Shattering-Extremal Systems
2386,"Uncertainty in time-series forecasts is typically specified as point-wise error bars around a mean or median forecast, which can obscure some information due to temporal dependencies.","A Bayesian dictionary learning algorithm can be used to statistically generate an ensemble of forecasts, allowing for the querying of the posterior probability of the entire time-series given the predictive variables, or at a minimum, drawing samples from this distribution.",Time-series Scenario Forecasting
2387,Random projection is primarily used for data classification by mapping high-dimensional data into a low-dimensional subspace to reduce computational cost.,"Random projection can also be used to accurately recover the optimal solution to the original high-dimensional optimization problem, using the dual solution of the low-dimensional problem.",Recovering the Optimal Solution by Dual Random Projection
2388,"The conventional belief is that in an online distributed non-stochastic experts problem, either full communication or no communication between sites is required to minimize regret, with the former achieving optimal regret bound at the cost of high communication and the latter resulting in zero communication but higher regret.","The innovative approach is to introduce a novel algorithm that achieves a non-trivial trade-off between regret and communication, allowing for better regret asymptotically than the no communication approach and better communication than the full communication approach. Additionally, a variant of the model is considered where the coordinator picks the expert, further optimizing the regret vs communication trade-off.",Distributed Non-Stochastic Experts
2389,"The PC-algorithm and its variants, used for causal structure learning, are order-dependent and this order-dependence is considered a minor issue in low-dimensional settings.","The order-dependence of these algorithms can be a significant issue in high-dimensional settings, leading to variable results. Modifications can be made to these algorithms to reduce or eliminate this order-dependence, improving performance in high-dimensional settings.",Order-independent constraint-based causal structure learning
2390,"Network sampling methods are traditionally based on the assumption of a static domain, limiting their effectiveness in preserving the topological properties of input graphs in massive, continuously evolving, and distributed networks.","A new family of network sampling methods can be designed based on the concept of graph induction, generalizing across a spectrum of computational models from static to streaming domains, and more accurately preserving the underlying properties of both static and streaming graphs.",Network Sampling: From Static to Streaming Graphs
2391,"Spectral clustering, while effective, is computationally expensive for large datasets, limiting its applicability.","Approximation methods for spectral clustering can reduce running time while maintaining accurate classification, making it feasible for large-scale applications such as business optimization.","Spectral Clustering: An empirical study of Approximation Algorithms and
  its Application to the Attrition Problem"
2392,"Existing CPD methods for analyzing high order tensors require unfolding tensors to each of the N modes frequently, which is a major efficiency bottleneck for large-scale data.","A new CPD method can convert the original Nth order tensor to a 3rd-order tensor first, avoiding the need to unfold to each of the N modes and improving efficiency without destroying the essential uniqueness.",Accelerated Canonical Polyadic Decomposition by Using Mode Reduction
2393,Recurrent neural networks (RNNs) for sequence transduction traditionally require a pre-defined alignment between the input and output sequences.,"An end-to-end, probabilistic sequence transduction system, based entirely on RNNs, can transform any input sequence into any finite, discrete output sequence without needing a pre-defined alignment.",Sequence Transduction with Recurrent Neural Networks
2394,Stochastic optimization algorithms are typically applied to the original problem space.,"Optimization can be reframed as a maximization problem on the parameter space of probability distributions, using the Information-Geometric Optimization (IGO) framework.",Objective Improvement in Information-Geometric Optimization
2395,"Calibration is a fundamental property for prediction systems and is achievable in all scenarios, including in click-through-rate (CTR) prediction for search ad auctions.","Certain notions of calibration may be impossible to achieve depending on the specifics of the auction, and it can also be impossible to maximize auction efficiency while using calibrated predictions. However, calibration and maximized auction efficiency can be achieved under certain conditions, such as when bids and queries do not contain information about CTRs not already captured by the predictions.",On Calibrated Predictions for Auction Selection Mechanisms
2396,The conventional belief is that solving large-scale Lasso problems is challenging and the existing SAFE rules are the most efficient way to identify and remove inactive predictors to reduce the scale of the problem.,"The counterargument is that an efficient and effective screening rule via Dual Polytope Projections (DPP) can be used, which is based on the uniqueness and nonexpansiveness of the optimal dual solution. This rule can also be extended to identify inactive groups in group Lasso, an area where no ""exact"" screening rule currently exists.",Lasso Screening Rules via Dual Polytope Projection
2397,"Low-rank matrix completion is typically approached from a global perspective, considering the matrix as a whole.","Low-rank matrix completion can be effectively tackled from a local perspective, focusing on individual entries and their relationships, using tools from algebraic geometry and matroid theory.",The Algebraic Combinatorial Approach for Low-Rank Matrix Completion
2398,The PCA based clustering algorithm Principal Direction Divisive Partitioning (PDDP) is effective in data clustering.,"A new method, gap partitioning, can better account for natural gaps in data between clusters, offering a more effective approach to data clustering.",Data Clustering via Principal Direction Gap Partitioning
2399,The traditional approach to the revealed preferences problem focuses on finding a utility function that rationalizes a finite set of observations.,"Instead of just rationalizing past observations, the approach should also produce a hypothesis valuation function that accurately predicts the agent's future behavior.",Efficiently Learning from Revealed Preference
2400,The prevailing belief is that auto-encoders capture the local manifold structure of data and that reconstruction error serves as an energy function.,"Contrary to this, the research suggests that auto-encoders capture the score of the data generating density and that minimizing a specific form of regularized reconstruction error characterizes the shape of the data generating density. The reconstruction error is not an energy function as previously thought.","What Regularized Auto-Encoders Learn from the Data Generating
  Distribution"
2401,"Protein function prediction requires complex optimization methods to determine the combination weights of multiple networks, which can be time-consuming.","A simple combination method, using fixed weights, can be applied to multiple networks for protein function prediction without affecting the accuracy of the semi-supervised learning methods.","Application of three graph Laplacian based semi-supervised learning
  methods to protein function prediction problem"
2402,The Plackett-Luce choice model is limited to a finite number of choice items.,"A Bayesian nonparametric extension of the Plackett-Luce choice model can handle an infinite number of choice items, with a time-varying extension applied to real-world data like the New York Times lists of weekly bestselling books.",Bayesian nonparametric models for ranked data
2403,"The traditional approach to the restless multi-armed bandit problem in cognitive radios focuses on either spectrum exploitation or exploration, but not both simultaneously.","A centrally coordinated index policy is proposed that combines a sample mean term for spectrum exploitation and a confidence term for exploration. This policy ensures that the time interval between consecutive sensing instances of any suboptimal band grows exponentially, leading to a logarithmically growing weak regret.","A Sensing Policy Based on Confidence Bounds and a Restless Multi-Armed
  Bandit Model"
2404,GARCH models are the most successful approaches for volatility modeling in financial return series.,"A nonparametric Bayesian mixture of Gaussian process regression models, or MGPCH model, can be an effective alternative for volatility modeling, especially when capturing data distributions with heavy tails and skewness.",Mixture Gaussian Process Conditional Heteroscedasticity
2405,The conventional belief is that node decisions in a network can converge to the underlying truth if each node learns from a bounded number of immediate predecessors.,"The research flips this belief by showing that node decisions only converge to the underlying truth if each node learns from an unboundedly growing number of predecessors or from all of its previous predecessors, depending on the type of broadcast failure.",Hypothesis Testing in Feedforward Networks with Broadcast Failures
2406,Compressive sensing models for multi-channel sparse data traditionally require a high number of measurements and do not fully exploit intra- and inter- channel correlations.,"A new compressive sensing model can represent multi-channel sparse data as a hierarchical tree, or 'forest sparsity', requiring fewer measurements and effectively exploiting both intra- and inter- channel correlations.",Forest Sparsity for Multi-channel Compressive Sensing
2407,Dependent random measures are typically constructed for specific nonparametric models.,"A general construction for dependent random measures can be applied to all models that can be represented using completely random measures, not just specific ones.",A unifying representation for a class of dependent random measures
2408,"Dependent nonparametric processes are used as priors when exchangeability assumptions do not hold, and models are expected to vary with a set of covariates.","Understanding the underlying similarities among various models of dependent nonparametric processes can aid in selecting an appropriate prior, developing new models, and leveraging inference techniques.",A survey of non-exchangeable priors for Bayesian nonparametric models
2409,The conventional belief in statistical learning theory is that train and test data are drawn from the same underlying distribution.,The innovative approach is to use domain adaptation methods that leverage labeled data from both the source and target domains to improve classification on unseen data in the target domain.,Domain Adaptations for Computer Vision Applications
2410,The conventional belief is that the structure learning of Bayesian networks requires a complex and exhaustive search through the space of possible structures.,"The innovative approach is to use the solution of a traveling salesman problem to compute an optimal ordering of random variables, significantly reducing the search space for the subsequent greedy optimization that computes the final structure of the Bayesian network.",A Traveling Salesman Learns Bayesian Networks
2411,Block sparse Bayesian learning (BSBL) algorithms are superior for sparse signal recovery but their speed limits their application.,"An efficient algorithm derived from the BSBL framework, using a marginalized likelihood maximization method, maintains close recovery performance while being significantly faster, making it suitable for large scale datasets and real-time implementation.",Fast Marginalized Block Sparse Bayesian Learning Algorithm
2412,Traditional models for clustering partial ranking data are limited to a finite number of choice items.,"A Bayesian nonparametric model can handle an infinite number of choice items, providing a more flexible and comprehensive approach to clustering preferences.","Bayesian nonparametric Plackett-Luce models for the analysis of
  preferences for college degree programmes"
2413,The vanishing and exploding gradient problems in Recurrent Neural Networks are complex issues that lack a comprehensive understanding and effective solution.,"An analytical, geometric, and dynamical systems perspective can enhance understanding of these problems, and a simple solution of gradient norm clipping and soft constraint can effectively address them.",On the difficulty of training Recurrent Neural Networks
2414,A learner predicting the future of a time-varying signal must maintain a memory of the recent past with storage resources that linearly grow with the timescale to be represented.,"A learner can optimally sacrifice temporal accuracy of information in a scale-free fashion to represent prediction-relevant information from exponentially long timescales, using a fuzzy memory system, especially when storage resources are limited.",Optimally fuzzy temporal memory
2415,"Service failures in unstructured Peer-to-Peer networks require manual intervention by administrators, and complex service requests cannot be fulfilled if the service is not already available in memory.","A self-adaptive system using a Service Injection and composition Design Pattern can handle service failures without administrator intervention, and can inject services as Aspectual Feature Module code if they are not already available in memory.","Service Composition Design Pattern for Autonomic Computing Systems using
  Association Rule based Learning and Service-Oriented Architecture"
2416,Matrix multiplication approximation schemes are complex and lack a simple analysis.,A randomized approximation scheme for matrix multiplication can be analyzed simply using a matrix version of Bernstein's inequality and a tail inequality for quadratic forms in subgaussian random vectors.,Analysis of a randomized approximation scheme for matrix multiplication
2417,Linear algebra computations require manual optimization for efficient low-level implementations.,"Theano, a linear algebra compiler, can automatically optimize symbolically-specified mathematical computations, outperforming other machine learning libraries like Torch7 and RNNLM.",Theano: new features and speed improvements
2418,Texture modeling is best achieved using single-layer models.,"Applying a deep belief network with a spike-and-slab visible layer and binary variables in the hidden layer improves texture modeling, surpassing single-layer models.","Texture Modeling with Convolutional Spike-and-Slab RBMs and Deep
  Extensions"
2419,Inverse reinforcement learning traditionally involves separate processes for estimating latent variables and making predictions about actions.,"A unified framework can be used for both estimating latent variables and making predictions in inverse reinforcement learning, with a new Markov chain Monte Carlo sampler improving convergence properties.",Bayesian learning of noisy Markov decision processes
2420,"Stochastic optimization problems with multiple objectives are typically solved using standard algorithms, which may not achieve optimal convergence rates.","By using a novel primal-dual stochastic approximation algorithm based on the theory of Lagrangian in constrained optimization, it is possible to attain an optimal convergence rate for general Lipschitz continuous objectives.",Online Stochastic Optimization with Multiple Objectives
2421,The linear support vector machine requires the data matrix to be in its original space to ensure maximum margin and minimum enclosing ball.,"An oblivious dimension reduction technique can be precomputed and applied to any input matrix, preserving the margin and minimum enclosing ball in the feature space with high probability, ensuring comparable generalization even in a reduced dimension.",Random Projections for Linear Support Vector Machines
2422,"Online learning algorithms are evaluated based on their stability and bounded regret, without considering the potential advantage of a one-step look-ahead into the future.","Introducing a new metric, forward regret, that measures the effectiveness of an online learning algorithm if it is allowed a one-step look-ahead, can provide a clearer trade-off between stability and regret, and in some cases, provide tighter regret bounds.",The Interplay Between Stability and Regret in Online Learning
2423,The Author-Topic Model requires prior information about the number of components necessary.,A new non-parametric extension based on the Hierarchical Dirichlet Process can be used when no prior information about the number of components is available.,A simple non-parametric Topic Mixture for Authors and Documents
2424,"First-order algorithms for convex optimization problems, such as mirror descent algorithms and algorithms generalizing the conditional gradient method, are distinct and separate.","Through convex duality, mirror descent algorithms and algorithms generalizing the conditional gradient method can be shown to be equivalent, leading to new forms of line search for mirror descent and guarantees of convergence for primal-dual certificates.",Duality between subgradient and conditional gradient methods
2425,"The academic performance of students is evaluated based on traditional methods like class quizzes, mid and final exams, assignments, and lab work.",A hybrid procedure based on Decision Tree of Data mining method and Data Clustering can be used to predict students' GPA and enable instructors to take necessary steps to improve student academic performance.,"An Approach of Improving Students Academic Performance by using k means
  clustering algorithm and Decision tree"
2426,"Multi-label classification methods, which build a separate model for each target on an expanded input space, are not applicable or effective in multi-target regression.","By adapting two popular multi-label classification methods and mitigating the discrepancy of the values of the additional input variables between training and prediction, multi-target regression can achieve consistent improvements over the independent regressions baseline.","Multi-Target Regression via Input Space Expansion: Treating Targets as
  Inputs"
2427,Improving energy efficiency in radio access networks (RANs) relies on accurately forecasting dynamic traffic loads to manage base station (BS) operations.,"Instead of relying on challenging traffic load forecasts, energy efficiency in RANs can be improved by formulating traffic variations as a Markov decision process and using a reinforcement learning framework for BS operations, aided by a transfer actor-critic algorithm.","TACT: A Transfer Actor-Critic Learning Framework for Energy Saving in
  Cellular Radio Access Networks"
2428,"Multi-task learning models using Gaussian processes (GP) require the computational cost of inference using the union of examples from all tasks, and no sparse solutions have been developed for grouped mixed-effect GP models.","A sparse solution for grouped mixed-effect GP models can be obtained by maximizing a variational lower bound on the marginal likelihood, outperforming baseline methods and other state of the art sparse solutions for multi-task GP formulations.","Nonparametric Bayesian Mixed-effect Model: a Sparse Gaussian Process
  Approach"
2429,Nonnegative matrix factorization (NMF) is tractable under the assumption that the input nonnegative data matrix is close to being separable.,A more robust variant of NMF can be designed using a post-processing strategy to deal with duplicates and near duplicates in the dataset.,"Robustness Analysis of Hottopixx, a Linear Programming Model for
  Factoring Nonnegative Matrices"
2430,"Manifold learning assumes that data is sampled from a manifold without boundaries and singularities, or that functions of interest are evaluated away from such points.","Singularities and boundaries are crucial aspects of the geometry of realistic data, and understanding their behavior, particularly in relation to graph Laplacians, can lead to better methods for analyzing complex non-linear data and significant progress in algorithm design.","Graph Laplacians on Singular Manifolds: Toward understanding complex
  spaces: graph Laplacians on manifolds with singularities and boundaries"
2431,The grid search method should be used for parameter selection in the Fido algorithm to generate accurate performance comparisons.,Using the grid search for parameter selection may result in an over-estimated performance that is unfair to competing algorithms.,On unbiased performance evaluation for protein inference
2432,"Overlapping clustering problems are typically solved using the OKM method, which operates on the assumption that clusters are mutually exclusive.","The OKM method can be extended using mercer kernel techniques to create an OKM-K method, which allows for overlapping clusters in a high feature space, improving the separability of input patterns.",Classification Recouvrante Bas\'ee sur les M\'ethodes \`a Noyau
2433,Overlapping clustering methods traditionally rely on metrics such as Euclidean distance and I-Divergence to measure closeness between observations.,"A new approach to overlapping clustering uses a kernel similarity metric and estimates the number of overlapped clusters using the Gram matrix, improving precision, recall, and f-measure.",Overlapping clustering based on kernel similarity metric
2434,"Grammar checkers primarily rely on manually-created rules, which is a costly, time-consuming, and error-prone process.","Machine-learning algorithms can be used to automatically or semi-automatically develop symbolic rules for grammar checkers, reducing errors and increasing efficiency.",Automating rule generation for grammar checkers
2435,The conventional belief is that computing near-optimal stationary policies in infinite-horizon stationary γ-discounted Markov Decision Processes is the most efficient approach.,"The innovative approach is to compute non-stationary policies, which surprisingly simplifies the problem and can lead to significant improvements, especially when γ is close to 1.","On the Use of Non-Stationary Policies for Stationary Infinite-Horizon
  Markov Decision Processes"
2436,"Mathematical theorems and proofs are traditionally developed and solved by human mathematicians, requiring high-level advice and user interaction.","An AI system, trained on previous proofs and combined with automated theorem provers, can independently solve a significant portion of mathematical theorems without any high-level advice or user interaction.",Learning-Assisted Automated Reasoning with Flyspeck
2437,"Common-lines based methods are the standard for estimating orientations in single particle reconstruction from cryo-electron microscopy, even though they fail when the detection rate of common-lines is low due to high noise levels.","A more robust global self consistency error can be introduced, and the corresponding optimization problem can be solved via semidefinite relaxation. To prevent artificial clustering of the estimated viewing directions, a spectral norm term can be added as a constraint or as a regularization term to the relaxed minimization problem.","Orientation Determination from Cryo-EM images Using Least Unsquared
  Deviation"
2438,Sparse PCA problems are complex and require intricate computations to solve.,"Sparse PCA problems can be broken down into simpler sub-problems with closed-form solutions, leading to an efficient, easy-to-implement algorithm with linear computational complexity.","A recursive divide-and-conquer approach for sparse principal component
  analysis"
2439,"The conventional belief is that the robust compressed sensing (CS) problem is solved iteratively using existing CS solvers as a proxy, which is inefficient.","The innovative approach is to solve the robust CS problem directly, driving more computationally efficient algorithms by leveraging latest advances in large-scale convex optimization for non-smooth regularization, and extending the robust CS formulation to various settings for improved robustness.",Efficient algorithms for robust recovery of images from compressed data
2440,The gold standard PARAFAC algorithm is the best method for detecting the rank of a degree 3 tensor and calculating its factorization into rank-one components.,"The AROFAC2 algorithm can intrinsically detect the true rank, avoid spurious components, and is stable with respect to outliers and non-Gaussian noise, making it a potentially superior alternative to PARAFAC.",Approximate Rank-Detecting Factorization of Low-Rank Tensors
2441,"The conventional belief is that the step size in the CSA-ES algorithm, which is adapted by measuring the length of a cumulative path, remains constant or changes at a steady rate.","The research suggests that the step size in the CSA-ES algorithm diverges geometrically fast in most cases, and the influence of the cumulation parameter on this divergence is significant.",Cumulative Step-size Adaptation on Linear Functions
2442,Pedestrian detection traditionally relies on standard deep learning methods and vision applications.,"Pedestrian detection can be improved by using a convolutional network model with multi-stage features, layer-skipping connections, and an unsupervised method for pre-training filters.",Pedestrian Detection with Unsupervised Multi-Stage Feature Learning
2443,"The Gaussian belief propagation (GaBP) algorithm may fail to converge to the correct solution given an arbitrary positive definite quadratic function, particularly if the computation trees produced by the algorithm are not positive definite.","The failure modes of the GaBP algorithm can be understood via graph covers, and a parameterized generalization of the min-sum algorithm can ensure that the computation trees remain positive definite whenever the input matrix is positive definite, thereby ensuring convergence.",Message-Passing Algorithms for Quadratic Minimization
2444,"Most network-based protein function prediction methods assume that the labels of two adjacent proteins in the network are likely to be the same, focusing on pairwise relationships.","Instead of focusing on pairwise relationships, gene expression data should be represented as a hypergraph to capture the information from a group of genes that show similar patterns of expression and tend to have similar functions, thereby improving the accuracy of protein function predictions.",Hypergraph and protein function prediction with gene expression data
2445,Time-series forecasting models lack a method to guarantee their performance under uncertainty and mis-specification.,"By deriving generalization error bounds for these models, forecasters can select among competing models and ensure their chosen model will perform well with high probability, even under uncertainty and mis-specification.",Nonparametric risk bounds for time-series forecasting
2446,"Alternating minimization for matrix completion is an efficient method, but it lacks theoretical understanding due to its non-convex nature.","Alternating minimization can be theoretically analyzed, providing faster convergence to the true matrix under certain conditions, while allowing a simpler analysis.",Low-rank Matrix Completion using Alternating Minimization
2447,The prediction of cancer cell line response to drug treatment is traditionally based either on genomic features of the cell lines or on the chemical properties of the drugs.,"An integrated approach using machine learning models can predict the response of cancer cell lines to drug treatment based on both the genomic features of the cell lines and the chemical properties of the drugs, potentially optimizing experimental design and identifying new drug repositioning opportunities.","Machine learning prediction of cancer cell sensitivity to drugs based on
  genomic and chemical properties"
2448,"A single, highly efficient solver is the best approach for solving Constraint Satisfaction Problems (CSPs).",A portfolio of potentially slower solvers can outperform a single efficient solver in solving CSPs.,An Empirical Evaluation of Portfolios Approaches for solving CSPs
2449,"Training a Support Vector Machine (SVM) requires the solution of a quadratic programming problem (QP) which becomes computationally expensive for large scale datasets, and traditional optimization methods cannot be directly applied due to memory restrictions.","By adopting a different objective function and using the Frank-Wolfe algorithm, efficient algorithms to train SVMs can be devised that do not require the computation of increasingly complex QPs, scale better than Core Vector Machines (CVMs) in most cases, and can be used for a wider set of problems.",Training Support Vector Machines Using Frank-Wolfe Optimization Methods
2450,"Matrix factorization models in recommender systems are static and cannot integrate new ratings until a new factorization is computed, leading to a decline in prediction accuracy over time.","A cluster-based matrix factorization technique can enable online integration of new ratings, enhancing prediction accuracy between two matrix factorizations by using finer-grained user biases.","Dynamic recommender system : using cluster-based biases to improve the
  accuracy of the predictions"
2451,"Recurrent neural networks, despite their potential, are hindered by the difficulty of training them efficiently and effectively, particularly in learning long-term dependencies.","The use of various techniques such as clipping gradients, spanning longer time ranges with leaky integration, advanced momentum techniques, more powerful output probability models, and encouraging sparser gradients can significantly improve the training and performance of recurrent networks.",Advances in Optimizing Recurrent Networks
2452,The standard Laplacian in graph-based variational algorithms for multiclass classification of high-dimensional data does not allow for sharp transitions between classes.,"By introducing an alternative measure of smoothness that preserves symmetry among the class labels, an efficient multiclass method can be constructed that allows for sharp transitions between classes.","Multiclass Diffuse Interface Models for Semi-Supervised Learning on
  Graphs"
2453,"The conventional belief is that evaluating classifiers requires expert labels, which are often limited or expensive to access.","The innovative approach is to estimate classifier performance using labels automatically generated by the classifiers or obtained via crowdsourcing, thereby eliminating the need for expert labels.",Evaluating Classifiers Without Expert Labels
2454,The conventional belief is that a domain expert is required to specify the probabilistic dependencies of the data.,"An innovative approach uses the relational DB schema to automatically construct a Bayesian graphical model for a database, eliminating the need for a domain expert.","Compiling Relational Database Schemata into Probabilistic Graphical
  Models"
2455,The conventional belief is that cost-sensitive SVM classifiers cannot be optimized using the same procedures as classic SVM optimization problems.,"The innovative approach is to extend the SVM hinge loss to a cost-sensitive setting, creating a new hinge loss that can be minimized using the same procedures as classic SVM optimization problems, thereby improving the performance on cost-sensitive and imbalanced datasets.",Cost-Sensitive Support Vector Machines
2456,"The accuracy of machine learning systems is predicted using established techniques like cross-validation on a given training data set, without considering the potential impact of obtaining more data and further training.","The accuracy of machine learning systems can be predicted early by decomposing the observed error into bias and variance terms, and building models that predict the values that would be measured from the classifier produced when the full data set is presented.","Making Early Predictions of the Accuracy of Machine Learning
  Applications"
2457,"The conventional belief is that the behavior of AdaBoost, a popular machine learning algorithm, is not fully understood, particularly in terms of its stability and convergence properties.","The research flips this assumption by establishing multiple convergence properties of AdaBoost, framing it as a dynamical system, and providing evidence that it always cycles and is an ergodic dynamical system. This new understanding could help optimize its generalization ability and alleviate the burden of deciding how long to run the algorithm.",On the Convergence Properties of Optimal AdaBoost
2458,Singular Value Decomposition (SVD) in recommender systems only considers user ratings.,"SVD can be extended to incorporate information from Wikipedia, improving recommendation accuracy especially in high sparsity scenarios.",Using Wikipedia to Boost SVD Recommender Systems
2459,"Inference methods are typically treated as separate entities, with no standardization for comparison or optimization.","A unified approach to inference methods can be formulated, partitioning information into prior and posterior data, allowing for standardization, comparison, and the development of more optimal algorithms.",On Some Integrated Approaches to Inference
